rank,token_id,token,dot_product
1,61337, CDs,0.01807124346782483
2,22901, verification,0.017577054577930858
3,28330,式,0.01744031734928911
4,7231,rie,0.017100449544447678
5,33808, exceeded,0.016501026741138167
6,106325,所以在,0.016437847587408683
7,90414,*log,0.0163161862441423
8,19653, rice,0.016301252183006848
9,722,ery,0.016206978613507984
10,98949, chocolates,0.015973407843420842
11,25429, Verify,0.015964453282192873
12,10146, verify,0.015776749281690927
13,231,�,0.01530550108703909
14,44739,/day,0.015295647519565442
15,4416,So,0.015008546124680432
16,773, so,0.01498477379007173
17,23134, hiring,0.014856973756750713
18,107,�,0.01478848308696757
19,704,so,0.014698925523287498
20,31293, lined,0.014640515712787669
21,19147,HD,0.01459688737614337
22,71533, Turning,0.014562083419004931
23,18356,rix,0.01443908370403471
24,32627,Verify,0.01443701991866149
25,17976, rounded,0.014378840776413243
26,35988, erase,0.014349145232109811
27,39310, BD,0.014331479610162096
28,109292,周围的,0.014172888229823793
29,54115, Evaluate,0.014114282511758044
30,62096, substituted,0.014096047938698293
31,16378, Expression,0.014078358786339458
32,21777, equality,0.014011068402481446
33,45751,avings,0.013964777340024936
34,87856, verifies,0.01394345262390509
35,105676,每月,0.013766105213350487
36,19853, whereas,0.013709714524402117
37,99263,积,0.013687851494559033
38,48924, successive,0.013669750625165934
39,4195,erm,0.01365521570539771
40,3798,Options,0.013434717560450102
41,86182, homogeneous,0.013366618442920634
42,99548,典,0.013284107946644412
43,82395, Pyramid,0.013243286490667045
44,7493, expression,0.01318322863087304
45,25566,_prev,0.013124434726198425
46,55036, Odd,0.013110918237078786
47,15243, tea,0.01310806151516513
48,87531,板,0.01304488720811521
49,66620, Thirty,0.012976392752998764
50,114420,两张,0.012951805273238304
