rank,token_id,token,dot_product
1,4961, reported,0.004133786043353734
2,33003, poses,0.003667241864212887
3,100091,主义,0.0036642041877746343
4,113559,希尔,0.003620782913611951
5,10674,Stop,0.003570049162965068
6,84404, Indexed,0.003504777909111177
7,10767, possibly,0.0034738653560828538
8,274, s,0.0034717097651431094
9,3759,(S,0.003446622400431177
10,23829, bib,0.003435761663724142
11,20866, fallen,0.003394154123743211
12,33426, ISBN,0.0033868550421728982
13,30087,.stat,0.003381123556960115
14,76,m,0.0033553840376538283
15,22420,.stack,0.003343894028971046
16,3776, One,0.003339704674293405
17,37541,です,0.003332181184639472
18,2420, pop,0.003326234981947869
19,2053, ref,0.0033237581124916124
20,81378,Hu,0.0033228264385201135
21,101609,高峰,0.0033112143206752483
22,8386, disabled,0.003303888222852748
23,9495,stop,0.003293831619824313
24,69481, grads,0.0032779539607231166
25,20417,_rank,0.003258788424128745
26,14983, slide,0.003256939485229574
27,584, public,0.0032459559692906243
28,27846, ب,0.003234723656326463
29,20498, encoded,0.003232064800042683
30,13089, accompl,0.003227292854129167
31,22749, Hold,0.003213953012271312
32,31,@,0.0032088450999541284
33,2261,ln,0.003204755531080437
34,73762, pubs,0.003192059579903159
35,53083,Sarah,0.003191167358096294
36,25244, partially,0.0031707299420985725
37,131404, sayı,0.003160218361068787
38,2013,.R,0.0031584465019648023
39,2603,ird,0.003150297177072211
40,2641,bool,0.0031471763464596906
41,1026, sup,0.0031445905619487697
42,10994,LM,0.0031277434623375178
43,100172,拍,0.0031126618535290453
44,9645, Write,0.003108829044022869
45,3703, https,0.0031039410732145206
46,57900, drafting,0.0031030982690280428
47,47253,Lost,0.003100181224068078
48,4815, behind,0.0030906976623179105
49,21788, resort,0.0030790599333330717
50,22595,STAT,0.00307210607330318
