rank,token_id,token,dot_product
1,7989,kin,-0.0019203660167252433
2,102778,免疫,-0.001811986171545346
3,572, was,-0.0017676440317724682
4,38271, whoever,-0.001724543872080642
5,21032,ей,-0.001677924400437926
6,77286,}}{{,-0.0016683167439325679
7,85379,Unified,-0.0016476751985998808
8,15772,gent,-0.0016431735632470139
9,83718, stricter,-0.0016255331450772813
10,102114,也没有,-0.0016178293033233555
11,43791,FREE,-0.0016039708388223574
12,1011,ms,-0.0015824965442398596
13,86472, skewed,-0.0015418673567693512
14,2126, Get,-0.0015418252022991342
15,46972,aussian,-0.0015388358857841948
16,18848,alia,-0.00153829476344206
17,5193, upon,-0.0015163097497833556
18,5296, lock,-0.0015158804201695843
19,35771, PID,-0.0015131167324040663
20,40468,Incorrect,-0.0015042608194754776
21,16807, diverse,-0.0015027564852394056
22,15497,categories,-0.0014902477233208213
23,57681,jun,-0.0014893197770826155
24,33585, questioning,-0.001481421917345444
25,7606,jection,-0.0014778726880541565
26,48568, Gaussian,-0.0014717410242032023
27,63364,Justin,-0.0014707070190259088
28,8574,ummy,-0.0014686064497549723
29,54934,((-,-0.0014631724426627888
30,108110,拱,-0.001462858924979652
31,290,ion,-0.0014480899322808218
32,11680,uent,-0.001440973586117314
33,9009,oon,-0.0014238880137148109
34,53752, constrained,-0.0014180335844331347
35,63877,ogi,-0.001415885375822676
36,13719, finds,-0.0014157852865059146
37,70874, categorized,-0.0014070848954447083
38,69745,ulia,-0.0014067259220863382
39,29448, heter,-0.0014041658024076756
40,113485,对立,-0.0014031282034377849
41,111516,减少了,-0.0014019364473896745
42,26620, shocked,-0.001400569196268216
43,82471,veget,-0.0014002545893077173
44,74705,gunakan,-0.0013982746411887966
45,85386,δ,-0.0013971463490492335
46,3205, sever,-0.0013924975316198466
47,104376,百度,-0.0013907773916839738
48,19485,website,-0.0013904756326621158
49,104570,都可以,-0.0013873846522289156
50,36445, internationally,-0.0013805048320746538
