rank,token_id,token,dot_product
1,2073,“,0.054637224378980324
2,5435, related,0.05263946327769709
3,15670,".',",0.0495378354642204
4,8296,hash,0.04845314371972163
5,90,{,0.04806061107472376
6,14835, „,0.04701822336143256
7,34883, correl,0.046100625482392694
8,28369, Diff,0.04605490720550981
9,5059,ara,0.04519731034985688
10,84386,{s,0.04499456123043129
11,41156,annes,0.04496294593523964
12,25838, boyfriend,0.04476521734600077
13,103918,〔,0.044468070303155055
14,53692, `{,0.0441303150492172
15,18469,.:,0.04358339103571088
16,113317,较差,0.04322337652304421
17,81556,`(,0.042979078522874074
18,26891, keen,0.0429194662440657
19,40381,Examples,0.04226132854121201
20,50378,-fr,0.042092389210655945
21,9388,/{,0.042040738642451864
22,4960, extra,0.041958215781639385
23,1986,This,0.041872669680190794
24,15311, titles,0.04187266927244522
25,492,(',0.041799155900783945
26,39715, irrelevant,0.04178607491179706
27,14009,‘,0.041631001770155204
28,105440,很高,0.0414442802357072
29,82,s,0.04141319654973576
30,15460,extra,0.04124505165541727
31,32798, {(,0.040484578550783495
32,54079, formulas,0.040483320966101306
33,21751,Diff,0.040091329952430636
34,43006, cliff,0.04003811609326911
35,99659,部分,0.03990260122941954
36,9848, approx,0.039888617078829736
37,47266,?).,0.03983218664813701
38,14766, featured,0.03979072311056776
39,35704, cores,0.03973802227759754
40,18627, recipes,0.03971635953372651
41,55909, oo,0.03962213001935692
42,37141, aka,0.039542013411563035
43,16217, tall,0.03952769340716022
44,102495,一定的,0.039494653967643956
45,48583, bachelor,0.03939899581456595
46,29100, accent,0.03936543217205543
47,30768,>[,0.03933551477187852
48,14285, walls,0.0392795142467021
49,2679,If,0.039254539569040625
50,72381, downhill,0.039017813450470826
