rank,token_id,token,dot_product
1,18506,-MM,0.010145550585784343
2,5197,uz,0.010004261979692383
3,76307,lingen,0.009503488513026098
4,6540, knowledge,0.009361216315264521
5,48568, Gaussian,0.00912732032397691
6,30969, welcomed,0.008789441639896211
7,21467,ouri,0.008648038925780047
8,40989, Laws,0.008474141649069858
9,35969,awai,0.008369670297800627
10,54079, formulas,0.008112792682082086
11,33585, questioning,0.008041303413692497
12,100032,知识,0.008037923912713456
13,18763, deriv,0.007877669358807779
14,89947, pard,0.007833242740425309
15,111508,学问,0.0077891555547324465
16,48089, deriving,0.007784451501477552
17,93216, Gauss,0.007770574183918744
18,31925, Knowledge,0.007735202531476068
19,95254, derivation,0.007665049895906051
20,94344,explain,0.007618457494009995
21,45274,/Q,0.007604820140828954
22,116032,惠及,0.007564271206339568
23,94480, LZ,0.007516121974335224
24,76048, smarty,0.007508083383196529
25,18940, concepts,0.007476739154512135
26,77542, Benz,0.007469247603874712
27,63284, Solve,0.007462766140385678
28,36017, @$,0.007460257167191647
29,46931, Lorem,0.007458653093477263
30,12858,iper,0.007452862784521105
31,1562, tem,0.007427972916276664
32,75013,zbek,0.00740682814798177
33,45975, Curry,0.007376814538711467
34,23375,ometric,0.007375967093794442
35,75049,ponde,0.0072712281327941206
36,89331, Iranians,0.007261424331684203
37,17250,bell,0.007256297226006743
38,52897, harmless,0.007253565707663244
39,5148,conn,0.00724036669294148
40,5812, calcul,0.00721422644162778
41,18213, Conn,0.0071606770887602395
42,23041, Pear,0.007159666431411221
43,31649, Carn,0.007158517265289849
44,74556, draggable,0.007153683353258555
45,55741, LW,0.0071503794459061715
46,55809,(rhs,0.007134810979534209
47,111045,长途,0.007123982161521186
48,44561, |-,0.007121327610633221
49,18366, lessons,0.007109778552129457
50,117115,挡住,0.007090853983153192
